ticker,outcome,venue,primary_exchange,con_id,candidates,detail,attempts,elapsed_s,unexpected_venue
CHIX,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.009,no
CHNA,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
CID,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
CIL,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
CIZ,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
CLDL,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
CLNR,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.001,no
CLRG,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
CLSA,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
CLSC,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
CLTL,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.009,no
CN,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
CNCR,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
COII,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.002,no
COW,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
CPI,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
CRIT,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
CRUZ,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
CSA,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.001,no
CSF,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.001,no
CSML,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
CUBS,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.003,no
CUSD,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.001,no
CVSE,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
CYA,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.002,no
CYB,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
DALT,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.003,no
DBEH,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
DBGR,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
DBJA,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
DBOC,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.001,no
DBS,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.002,no
DBV,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.009,no
DEF,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
DFHY,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
DFND,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.002,no
DFNV,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.003,no
DFRA,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.012,no
DGL,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
DISO,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.009,no
DJCB,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
DMAT,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
DMCY,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
DMDV,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
DOZR,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
DSCF,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
DSJA,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
DSOC,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
DUDE,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
DWAC,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
DWAT,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
DWCR,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
DWEQ,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
DWMC,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
DXGE,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
DXJS,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
DYNI,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
EATV,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
EATZ,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
EBLU,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.009,no
ECLN,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
ECOZ,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
EDOC,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
EDUT,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.003,no
EEMD,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
EFIX,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.009,no
EFUT,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.011,no
EGIS,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
EGPT,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
ELIS,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
EMCC,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
